Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
1.38,3.5,7.18,7.18,0.0,53.0,1.18,19.0,1.0,1.0,1.495,72.0,63.0,4
1.36,3.44,7.32,7.08,0.0,54.0,1.17,21.0,1.0,1.0,1.474,71.0,66.0,4
1.33,3.44,7.0,7.0,0.0,55.0,1.16,23.0,1.0,1.0,1.477,71.0,64.0,4
1.38,3.5,6.44,6.44,0.0,54.0,1.18,19.0,1.0,1.0,1.453,72.0,66.0,4
1.38,3.5,6.44,6.44,0.0,54.0,1.18,19.0,1.0,1.0,1.453,72.0,66.0,4
1.37,3.64,7.37,7.14,0.0,55.0,1.18,21.0,1.0,1.0,1.564,72.0,67.0,4
1.34,3.44,6.92,6.73,0.0,55.0,1.16,23.0,1.0,1.0,1.462,70.0,64.0,4
2.86,4.77,11.15,10.5,0.0,93.0,1.34,36.0,1.2,2.0,1.256,125.0,99.0,4
2.86,4.77,11.15,10.5,0.0,93.0,1.34,36.0,1.2,2.0,1.256,125.0,99.0,4
2.8,4.7,11.28,7.6,0.5,92.0,1.32,36.0,1.2,2.0,1.256,124.0,99.0,4
2.8,4.7,11.28,7.6,0.5,92.0,1.32,36.0,1.2,2.0,1.256,124.0,99.0,4
1.45,3.37,7.39,5.0,0.0,42.0,0.99,18.0,1.1,4.0,1.47,71.0,66.0,4
1.45,3.37,7.39,5.0,0.0,42.0,0.99,18.0,1.1,4.0,1.47,71.0,66.0,4
1.44,3.34,7.31,4.99,0.0,43.0,0.98,19.0,1.0,1.0,1.528,70.0,65.0,4
1.45,3.34,7.34,5.03,0.0,47.0,0.99,21.0,1.0,4.0,1.493,71.0,65.0,4
1.45,3.37,7.39,5.0,0.0,42.0,0.99,18.0,1.1,4.0,1.47,71.0,66.0,4
1.45,3.37,7.39,5.0,0.0,42.0,0.99,18.0,1.1,4.0,1.47,71.0,66.0,4
1.44,3.34,7.31,4.99,0.0,43.0,0.98,19.0,1.0,1.0,1.528,70.0,65.0,4
1.45,3.34,7.34,5.03,0.0,47.0,0.99,21.0,1.0,4.0,1.493,71.0,65.0,4
1.7,2.7,8.54,6.19,0.0,78.0,1.2,25.0,1.1,1.0,1.18,88.0,65.0,4
1.7,2.7,8.54,6.19,0.0,78.0,1.2,25.0,1.1,1.0,1.18,88.0,65.0,4
1.66,2.62,8.44,6.08,0.0,78.0,1.15,27.0,1.0,1.0,1.132,86.0,64.0,4
1.67,2.64,8.52,6.07,0.0,80.0,1.16,29.0,1.1,1.0,1.169,87.0,64.0,4
1.4,3.5,6.39,6.4,0.0,41.0,1.18,14.0,0.9,4.0,1.6,55.0,63.0,4
